Codigo,Lote,Vto,Disponible_restante
101000301,QBZSR01,2027-01-31,1290.0
101000401,T09368,2027-09-30,0.0
101000401,T09369,2027-09-30,0.0
101000401,T09370,2027-09-30,0.0
101000401,T09371,2027-09-30,0.0
101000401,T09372,2027-09-30,0.0
101000401,T09373,2027-09-30,0.0
101000401,T09395,2027-09-30,0.0
101000401,T09396,2027-09-30,0.0
101000401,T09397,2027-09-30,0.0
101000401,T09398,2027-09-30,0.0
101000601,2503414D,2027-07-30,2240.0
101000801,107173,2028-01-31,38000.0
101000801,107174,2028-01-31,220000.0
101000801,107175,2028-01-31,600000.0
101000801,107175,2028-01-31,1000000.0
101000901,ABGZ,2027-05-31,0.0
101000901,ABKS,2028-04-30,2700.0
101001101,50121003,2028-10-31,0.0
101001101,50121004,2028-10-31,0.0
101001101,50121101,2028-11-30,0.0
101001301,N2401045,2028-05-31,70.0
101001601,934A01,2026-03-31,2431.0
101001801,9182083,2027-07-31,74100.0
101001801,9182084,2027-07-31,64500.0
101001801,5GH0262,2028-05-31,884640.0
101001801,5GH0270,2028-05-31,60.0
101001801,5GH0270,2028-05-31,102600.0
101002001,H251032,2029-08-31,0.0
101002101,XD721,2027-11-30,0.0
101002101,A2TM1,2028-03-31,0.0
101002101,A2TN2,2028-03-31,0.0
101002101,A2TP2,2028-03-31,26908.0
101002101,A2TR2,2028-03-31,196644.0
101002301,E128011,2026-10-31,29620.0
101002301,F128001,2027-03-31,74780.0
101002301,F128001,2027-03-31,400000.0
101002601,51203,2028-07-31,0.0
101002601,51204,2028-07-31,162000.0
101002601,51218,2028-07-31,348300.0
101002601,51220,2028-07-31,226800.0
101003101,50890701,2028-06-30,50000.0
101003101,50890702,2028-07-31,200000.0
101003901,RAPT,2027-04-30,8070.0
101004501,I4019,2027-08-31,0.0
101004501,I4019,2027-08-31,319400.0
101008501,V012,2027-10-30,62350.0
101008501,V012,2027-10-31,2650.0
101008601,8193023,2026-12-31,178500.0
101008601,8194606,2026-12-31,7400.0
101008601,8196862,2027-02-28,200000.0
101008601,8196861,2027-03-31,563400.0
101008801,F240729,2026-06-30,0.0
101008801,H241105,2026-08-31,36200.0
101008801,H241107,2026-08-31,110000.0
101008801,J241426,2026-10-31,104000.0
101009501,50900501,2028-05-31,56000.0
101009501,50900502,2028-05-31,1000.0
101009501,50901001,2028-10-31,839000.0
101009501,50901002,2028-10-31,306000.0
101010101,U24D369,2026-12-31,22652.0
101010101,U25F363,2027-02-28,636020.0
101010601,A5018,2027-12-31,25300.0
101010801,G250814,2029-07-07,622080.0
101011401,040324,2027-05-30,116004.0
101012901,97582,2028-04-30,441600.0
101012901,97583,2028-04-30,14400.0
101012901,97583,2028-04-30,39900.0
101013101,51041101,2028-11-30,129000.0
101015901,508685,2030-04-30,60900.0
101016301,X71E1,2029-06-30,163800.0
101016301,X71F1,2029-06-30,103380.0
101018301,430933,2027-02-28,20520.0
101018401,P0016679,2027-08-30,18210.0
101018401,P0016746,2027-08-30,15000.0
101018401,P0016746,2027-08-31,20010.0
101022301,MTT2419AC,2026-06-30,103800.0
101022301,MTT2419AC,2026-06-30,11800.0
101022301,MTT2420AC,2026-06-30,3100.0
101022301,MTT2421AC,2026-06-30,17700.0
101024201,M5009,2027-12-31,0.0
101024201,M5074,2028-04-30,311300.0
101024201,M5074A,2028-04-30,528000.0
101024201,M5075,2028-04-30,470000.0
101024501,SF035,2027-07-31,13920.0
101024501,SL609,2028-06-30,2970.0
101027701,A3E91,2029-03-31,0.0
101027701,A3EA1,2029-03-31,95200.0
101028501,00001E25,2028-04-30,28000.0
101030201,C250505,2027-03-30,0.0
101030201,C250735,2027-03-30,57344.0
101030201,C250735,2027-03-30,16.0
101030701,40391201,2027-12-31,806000.0
101030701,50390101,2028-01-31,704000.0
101031601,B4034,2027-01-31,4800.0
101031601,40603,2027-04-30,19900.0
101031601,H4002,2027-07-31,95100.0
101032001,A0131,2028-01-31,127360.0
101032001,A4E71,2028-05-31,177212.0
101032001,A4E81,2028-05-31,56756.0
101032901,A-132003,2027-09-30,290700.0
101032901,A-132003,2027-09-30,132800.0
101034201,50771001,2028-10-31,43000.0
101034801,A5027,2026-12-31,0.0
101034801,B5012,2027-01-31,0.0
101034801,B5013,2027-01-31,286800.0
101034801,B5013,2027-01-31,100.0
101034801,F5017,2027-05-31,337200.0
101034801,F5018,2027-05-31,78400.0
101034801,F5018,2027-05-31,500.0
101034901,51030901,2028-03-31,124000.0
101034901,51030902,2028-03-31,71000.0
101035701,51653,2028-10-31,166400.0
101037801,51085,2028-06-30,40530.0
101037901,A3NT1,2028-04-30,78360.0
101037901,A3NU1,2028-04-30,778020.0
101038801,5330,2028-09-30,5050.0
101038801,5331,2028-09-30,43050.0
101038801,5349,2028-09-30,129000.0
101038801,5352,2028-09-30,86000.0
101042601,PG6182,2026-09-30,0.0
101042601,DM6429,2027-01-31,144300.0
101042701,PD4740,2026-06-30,35050.0
101044101,MD9889,2027-12-31,16540.0
101051101,FU1B407,2027-11-30,0.0
101051101,FU1B409,2027-11-30,58300.0
101051101,FU1B413,2027-11-30,750000.0
101051101,FU1B410,2028-11-30,600000.0
101052301,117005,2029-05-31,80040.0
101054001,2501001788,2027-11-30,45900.0
101054001,2502431588,2028-02-29,340800.0
101057701,B2T525,2028-04-30,0.0
101057701,B2T625,2028-04-30,0.0
101057701,B2T725,2028-05-31,0.0
101058301,VK6847,2027-05-31,104700.0
101059201,SAL014EE,2027-02-28,0.0
101059201,SAL015EE,2027-02-28,110700.0
101059201,SAL032EE,2027-10-31,57400.0
101059401,2504010A,2028-03-31,0.0
101059601,51351101,2028-11-30,467000.0
101059901,BNT0125027,2027-12-31,0.0
101059901,BNT0125029,2027-12-31,1481500.0
101061101,AMX012511,2028-01-31,10500.0
101061101,AMX012512,2028-01-31,264300.0
101061101,AMX5012510,2028-01-31,375900.0
101061101,AMX5012511,2028-01-31,87700.0
101061701,G040125,2027-12-31,0.0
101061701,G040125,2027-12-31,197400.0
101061701,G010725,2028-06-30,23200.0
101062501,VK4201,2028-02-28,0.0
101063301,4360525,2027-05-30,5880.0
101064601,X70X1,2027-06-30,231630.0
101064601,X7101,2027-06-30,107700.0
101064601,XD181,2027-11-30,13470.0
101064601,V003119V,2028-01-31,58000.0
101065401,5369,2029-09-30,0.0
101065401,5489,2029-10-31,0.0
101066201,11410701,2027-04-30,2500.0
101068201,F01170A,2027-06-30,0.0
101068201,F01170A,2027-06-30,1913800.0
101068701,LO01-25,2027-04-30,21000.0
101068701,LO01-25,2027-04-30,31000.0
101070101,118139,2029-07-31,61920.0
101070101,118140,2029-07-31,79120.0
101070401,00027A25,2027-01-31,106020.0
101070501,LJ6330,2028-04-30,143424.0
101071301,76203MC,2028-04-06,0.0
101071301,76207MC,2028-04-08,155500.0
101071301,78207MC,2028-06-10,571400.0
101071301,78208MC,2028-06-11,573700.0
101071301,78209MC,2028-06-12,54800.0
101071701,HUC2504AC,2027-03-31,0.0
101071701,HUC2505AC,2027-03-31,62800.0
101072701,H4033,2027-07-31,0.0
101072701,I5018,2028-08-31,0.0
101073501,62208MC,2027-01-31,14900.0
101073501,A5014,2027-12-31,119500.0
101073801,25050088,2027-05-28,479740.0
101073801,25050166,2027-06-30,405580.0
101074101,4GH0564,2027-08-31,13020.0
101074201,BV2808,2026-05-30,103020.0
101074301,632C06,2028-06-30,46420.0
101075501,4R536,2027-03-31,118380.0
101075501,5R505,2027-03-31,35310.0
101079701,M45475,2026-12-31,1501000.0
101079701,M45478,2026-12-31,407000.0
101079801,661125,2027-02-08,45200.0
101079901,XAFK2,2026-10-31,0.0
101079901,XAFP1,2026-10-31,252720.0
101080001,2501625B,2028-04-30,264780.0
101082901,K4028,2027-10-31,197000.0
101083201,BNT0525059,2027-04-30,52100.0
101083201,79236MC,2027-07-25,1020.0
101083401,X4TD3,2028-04-30,0.0
101083401,XDCP2,2028-12-31,18045.0
101083601,51901001,2028-10-31,32900.0
101083601,51901101,2028-11-30,2000.0
101083601,51901101,2028-11-30,40000.0
101083801,A81N1,2028-09-30,0.0
101083801,A81P1,2028-09-30,0.0
101085001,FD255269C,2027-07-31,0.0
101085101,FD242664B,2027-07-31,40260.0
101085101,FD244935A,2027-10-31,88100.0
101085201,FD245100A,2027-10-31,700.0
101085201,FD252089,2028-03-30,13400.0
101085201,FD252089,2028-03-31,280000.0
101086001,GTG1111A,2028-03-31,0.0
101086001,GTG2025B,2028-06-30,544230.0
101086201,79306MC,2028-01-31,0.0
101086401,A8UU1,2027-09-30,0.0
101087001,K3005,2026-10-30,35300.0
101087201,23100092,2026-10-31,43350.0
101087201,24010067,2027-02-28,95070.0
101087201,24100126,2027-10-31,13350.0
101087401,M2253M2,2028-04-30,0.0
101090101,8138998,2027-04-30,60.0
101090101,8138998,2027-04-30,2760.0
101090501,LC92935,2027-04-30,31980.0
101090501,LC92935,2027-04-30,60000.0
101091001,BC64M003,2026-12-31,0.0
101091001,BC64M005,2026-12-31,0.0
101091001,BC64M006,2026-12-31,0.0
101091001,BC64M007,2026-12-31,1008990.0
101091001,BC64M008,2026-12-31,452400.0
101091001,BC64M010,2026-12-31,1006920.0
101091101,2100734,2027-10-31,0.0
101091401,FD244150,2026-10-31,23550.0
101091401,FD244151,2026-10-31,78090.0
101091601,911210,2026-04-30,2940.0
101092001,28327,2027-05-30,5280.0
101092101,I5019,2027-08-31,0.0
101092301,P2401841,2026-04-30,39510.0
101092701,C2322,2026-06-30,4680.0
101092801,V012746V,2026-05-21,0.0
101093001,976637,2027-03-31,900.0
101093401,FD255190A,2028-07-31,0.0
101093501,14250910B,2029-02-28,0.0
101093601,I4034,2026-08-31,17100.0
101093601,C5043,2027-02-28,70600.0
101093801,76243MC4,2027-04-19,62670.0
101093801,79217MC2,2027-07-14,39720.0
101094001,HN1001,2026-07-30,3200.0
101094001,HN1001,2026-07-31,3800.0
101094001,HN1001,2026-07-31,4700.0
101094101,1E3948H,2027-12-31,0.0
101094101,1E3957D,2027-12-31,0.0
101094201,6001,2027-09-30,14900.0
101094301,J5017,2027-09-30,48120.0
101094501,FD251873B,2028-02-28,2640.0
101094701,2503140A,2028-06-30,970.0
101094701,115462,2029-03-30,11732.0
101095701,2408220002,2026-11-30,280.0
101095801,2508210003,2027-01-31,2940.0
101095801,2508210002,2027-07-31,7364.0
101096001,PE8834,2027-07-31,24864.0
101096001,PH5147,2027-09-30,21504.0
101096101,28586,2027-06-30,1140.0
101096301,PT0700725,2028-02-28,0.0
101096301,PT0700825,2028-02-28,173700.0
101096301,PT0700825,2028-02-29,90300.0
101096301,PT0701325,2028-03-31,582900.0
101096301,PT0701425,2028-03-31,581800.0
101096301,PT0701525,2028-03-31,400700.0
101096301,PT0702325,2028-03-31,72600.0
101096301,PT0702425,2028-03-31,485600.0
101096301,PT0700625,2028-08-28,584000.0
101096501,A4X91,2027-05-30,22560.0
101096602,F120006,2027-05-31,11148.0
101096801,E240893B,2026-02-28,2830.0
101096801,VE3910,2026-05-31,750.0
101097001,8171296,2026-09-30,3180.0
